DocID,DOI,ItemType,PublicationYear,Author,Title,PublicationTitle,Abstract,Notes,Psychology_Keywords,Philosophy_Keywords,Biology_Keywords,Medicine_Keywords,Max_Score,Second_Score,Difference,N_Max,AutomatedAssignment,Tie,Low_Confidence,AutomatedAssignment_Revision,Field,ReasonCorrection,ReasonCorrection_Standard
11,10.1037/0735-7036.104.3.211,JournalArticle,1990,"Lickliter, Robert; Ness, James W.",Domestication and comparative psychology: status and strategy,Journal of Comparative Psychology,"Study of animal domestication lacks a conceptual framework to integrate genetic and environmental factors into a coherent theory of domestic phenotypes, and researchers have conceptually and experimentally separated the contributions of these influences. We critically examine genetic and environmental approaches to domestication and describe an alternative, developmental systems approach. In this view, domestic phenotypes are not transmitted in the genes nor contained in features of captive environments but are constructed by coaction of organic, organismic, and environmental factors during ontogeny. Thus, animals are similar or not in the expression of phenotypic traits, not because they share or lack similar genes, but because they share or lack similar developmental systems. This view of heredity and development directs attention to the animal–context transaction and includes many variables that have been omitted from analyses of domestication.",About developing a theoretical framework for the evolution of traits in domesticated animals,4,9,5,0,9,5,4,1,Philosophy,0,0,Philosophy,Psychology,"Same as previous: this can perfectly be a paper about philosophy, biology or psychology. Given that the author is a psychologist and it's published on a psychology journal, I will assign it as a psychology contribution",Journal from different field; Author from different field
12,10.1207/s15326969eco0301_1,JournalArticle,1991,"Lickliter, Robert",Context and Animal Behavior II: The Role of Conspecifics in Species-Typical Perceptual Development,Ecological Psychology,"The young bird or mammal's natural situation is an inherently social one, in which the animal neonate receives an array of stimulation from its immediate surroundings, especially its parent(s) and sibling(s). Like other aspects of the environment, social companions can be viewed as potential experiential resources for the developing individual, and can play a significant role in the realization of normal behavioral phenotypes. Only recently, however, have researchers begun systematic attempts to detail how the specific experiential requirements of behavioral development are related to the specific features of the usual social environment encountered by developing neonates. This article reviews recent work with precocial avian hatchlings demonstrating the important contribution that social experience with conspecifics can make to the development of species-typical perceptual preferences. Results indicate that surprisingly detailed information about the experiential stimulation present during the course of development is required if an appropriate interpretation to the results of experimental manipulations concerned with understanding that development is to be made. The findings also suggest that, in the evolution of the perceptual skills underlying early species identification, natural selection has acted on the entire developmental system (the organism and its context), and not merely on the organic, organismic, or environmental aspects of that system.",About the influence of social factors in the development of perceptual abilities in birds,11,2,5,0,11,5,6,1,Psychology,0,0,Psychology,Psychology,,
13,10.1111/j.1439-0310.1992.tb00951.x,JournalArticle,1992,"Dewsbury, Donald A.","Essay on Contemporary Issues in Ethology: On the Problems Studied in Ethology, Comparative Psychology, and Animal Behavior",Ethology,"I review Tinbergen's “four problems of biology,” their antecedents, and their subsequent development in the hands of other writers. As they have been developed from writer to writer the “problems” have been transformed and altered in subtle ways, some of which appear counterproductive. I suggest that the divisions of the problems in terms of “proximate-ultimate” and “how-why” have had unfortunate consequences and I suggest a modest revision so that problems are considered in relation to the genesis, control, and consequences of behavior.",About how to update Tinbergen's four causes in ethology,2,0,10,0,10,2,8,1,Biology,0,0,Biology,Biology,,
14,10.1037/0012-1649.28.3.368,JournalArticle,1992,"Thelen, Esther; Adolph, Karen E.",Arnold L. Gesell: The paradox of nature and nurture.,Developmental Psychology,"Arnold Gesell (1880-1961) has had an important and lasting impact on the field of developmental psychology. He is best remembered for his developmental norms, which were acquired from decades of detailed observations of infants and children and are still the basis of most early assessments of behavioral functioning. Gesell's influence as a theorist is less direct. His maturationism quickly lost favor in the intellectual climate of Piaget, behaviorism, and information-processing approaches. Nonetheless, nativism is still a dominant theme in contemporary developmental studies in the guise of neural determinism, innate knowledge, and genetic studies. Gesell is characterized as a man of paradoxes and contrasts. Although he acknowleged the contribution of the environment, he denied its agency. Although he was devoted to children and their welfare, he assigned their individuality to biological destinity. And although he remained a steadfast maturationist, he prefigured other dynamic views of development",About the contributions of Arnold Gessell to developmental psychology,9,0,2,0,9,2,7,1,Psychology,0,0,Psychology,Psychology,,
15,10.1016/0167-9457(92)90021-3,JournalArticle,1992,"Fogel, Alan",Movement and communication in human infancy: The social dynamics of development,Human Movement Science,The purpose of this article is to bridge the fields of movement science and developmental psychology. Movement science offers a perspective on motor skill that has potential application in the understanding of developmental change. Developmental psychology offers a number of theoretical perspectives on the role of the social context in development that may enhance the understanding of how movements are developed. This paper proposes a theory of human development in which communication and movement are essential components. The theory proposed here contributes both to movement science and to developmental psychology by hypothesizing specific ways in which the interface between movement dynamics and sociocultural information can induce developmental change.,About how to integrate movement science with developmental psychology,11,1,0,0,11,1,10,1,Psychology,0,0,Psychology,Psychology,,
16,10.1016/0376-6357(93)90132-b,JournalArticle,1993,"Lickliter, Robert; Dyer, Antoinette B.; McBride, Thomas",Perceptual consequences of early social experience in precocial birds,Behavioural Processes,"This article reviews recent work with precocial avian hatchlings demonstrating the important contribution that social experience with conspecifics can make to the development of species-typical perceptual preferences. In particular, experiments on the role of sibling social interaction in the development of early auditory and visually directed maternal preferences are surveyed. Results reveal that young hatchlings denied the opportunity for direct social experience with siblings consistently display auditory and visual preferences different from those shown by hatchlings allowed ongoing experience with their broodmates during the period immediately following hatching. Taken together, the studies reviewed here demonstrate that the perceptual preferences underlying the process of filial imprinting, long thought to be simply ‘innate’ or ‘instinctive’, are sensitive to an array of social factors present in the young bird's posthatching environment. The findings also provide support for the view that the minimum unit for the developmental analysis of species-typical behavior must be the developmental system, comprised of both the developing organism and its specific stimulative environment.",About the influence of social factors in sensorial development of birds,10,2,0,0,10,2,8,1,Psychology,0,0,Psychology,Psychology,,
17,10.1002/ajp.1350300204,JournalArticle,1993,"Fairbanks, Lynn A.; McGuire, Michael T.",Maternal protectiveness and response to the unfamiliar in vervet monkeys.,American Journal of Primatology,"Vervet monkeys (Cercopithecus aethiops sabaeus) show individual differences in approach-avoidance behavior when faced with an unfamiliar and potentially threatening situation. Prior research from our colony demonstrated that juveniles who had experienced high levels of early maternal protectiveness were more cautious in response to novelty, compared to juveniles who had had less protective mothers. The research reported here was designed to verify this result in a paradigm that experimentally varied maternal protectiveness through the introduction of new breeding adult males. Mothers responded to the presence of new males by increased maternal protectiveness toward infants born in the year following the introductions. Individual differences in response to the unfamiliar were later evaluated by measuring the latency to approach within 1 m of novel food containers placed into the home enclosure of four naturally composed social groups. Infants approached with the same latency and in the same order as their mothers. Juveniles approached sooner than, and independent of, their mother's current behavior, but their latency to approach could be predicted by the experimentally induced variation in maternal protectiveness they had experienced as infants. Immatures who had been born in New Male years, when maternal protectiveness was high, were more cautious and had significantly longer latencies to approach the novel stimulus compared to immatures who had been born in Resident Male years.",About mothering behavior in primates and their influence on exploratory behavior of offspring,4,0,0,0,4,0,4,1,Psychology,0,0,Psychology,Psychology,,
18,10.1016/0149-7634(94)90048-5,JournalArticle,1994,"Smotherman, William P.; Robinson, Scott R.",Caveats in the study of perinatal behavioral development: utility of fetal study.,Neuroscience and Biobehavioral Reviews,"Study of behavior during development presents psychobiologists and neurobiologists with a unique set of problems that should be addressed in the design and analysis of experiments. Some of these caveats have become apparent only with the recent growth in research with subjects around the time of birth. For example, physiological regulation within the maternal-infant dyad, litter effects, the influence of context at the time of testing on performance, and dissociation of age-related change and experience, all are important experimental considerations in developmental study. Manipulation and measurement of behavioral variables in the fetus in vivo can provide one means for circumventing many of the methodological pitfalls that are associated with behavioral study of newborn subjects.",About the methodology for studying prenatal development,0,0,0,0,0,0,0,4,Other,1,1,Other,Psychology,The topic is psychological,Content from different field
19,10.1080/10532528.1994.10559897,JournalArticle,1994,"Allgeier, Elizabeth Rice; Wiederman, Michael W.",How Useful is Evolutionary Psychology for Understanding Contemporary Human Sexual Behavior?,Annual Review of Sex Research,"My own view of the optimal outcome [of investigation and writing from an evolutionary perspective] would be for the significance of evolution to become so widely known and so thoroughly embedded in the understanding of those working in the human-oriented disciplines, that its tenets can be employed, without fanfare, when they are useful, and ignored or discarded when they are not.",About the role of evolutionary theory in the study of sexual differences in humans,1,0,4,0,4,1,3,1,Biology,0,0,Biology,Biology,,
20,10.1176/ajp.152.11.1563,JournalArticle,1995,"Eisenberg, Leon",The social construction of the human brain.,The American Journal of Psychiatry,"Objective: The purpose of this article is to review the development of concepts about the contribution of nature and nurture to brain structure and mental function, and to derive the implications of these changing concepts for clinical practice. Method: The literature of the past five decades, as refracted by the author's personal experience in academic psychiatry during that interval, is reviewed. Results: Psychiatric theory has swung through mighty arcs in recent years but has begun to re-equilibrate. Fifty years ago, psychoanalysis dominated the academic scene; for the past two decades, reductionist biological determinism has held the fort. Neither position is tenable. To subscribe to either is possible only by ignoring conflicting evidence. Worse, it means short-changing patients, whose disorders do not come neatly packaged into ""organic"" and ""functional"" compartments. Development is neither predestined in the genome nor completely malleable to shaping by the environment. Children inherit, along with their parents' genes, their parents, their peers, and the communities they inhabit. Conclusions: Contemporary psychiatric research conclusively demonstrates that mind/brain responds to biological and social vectors and is jointly constructed by both. Major brain pathways are specified in the genome; detailed connections are fashioned by, and consequently reflect, socially mediated experience in the world. Just at the time when integration at the level of theory is coming into sight, comprehensive patient care is endangered by for-profit corporate managed care, which is transforming medical visits into commodities on a production line. Physicians and patients must join in a coalition to protect quality, ensure access, and build continuity into all of medical care.",About the nature and nurture in psychiatry and mental illnesses,4,3,5,17,17,5,12,1,Medicine,0,0,Medicine,Medicine,,
21,10.1016/s0065-3454(08)60392-7,BookChapter,1995,"Moore, Celia L.",Maternal Contributions to Mammalian Reproductive Development and the Divergence of Males and Females,Advances in the Study of Behavior,"How do reliable differences emerge during development when the genetic differences between males and females are so limited? The answer must lie in epigenetic processes within the developing individuals or in epigenetic interactions between the individual and its environment. The environment for a developing mammal during the most relevant stages is provided primarily by the mother. In this chapter, the contributions of maternally provided environments to reproductive development and to the developmental divergence of males and females are explored.",About maternal resources for development in mammals,0,0,0,0,0,0,0,4,Other,1,1,Other,Biology,"The topic is biological, so I change to Biology",Content from different field
22,10.1037//0735-7044.109.4.744,JournalArticle,1995,"Arnold, H. M.; Spear, Norman E.",Isolation disrupts retention in preweanling rat pups.,Behavioral Neuroscience,"Expression of an olfactory memory in 18-day-old rat pups was examined in eight experiments following brief manipulations of environmental conditions prior to a retention test. In the first experiment we found that retention was disrupted if a pup was placed in isolation for 3 hr prior to the retention test. The retention deficit persisted even when pups had 3-hr exposure to an anesthetized dam and siblings before testing. However, there was no deficit in retention if pups spent the pretest interval with a nonlactating foster dam, their father, or littermates. Finally, we found that this deficit in retention could be alleviated by cuing treatments that preceded the retention test following isolation. Both discrete cues used during training and returning the pup to the home cage with parents and siblings for 3 hr were found to alleviate the retention deficit caused by isolation. These data demonstrate that housing conditions can influence postacquisition memory processes in the young animal.",About the influence of social factors in olfactory memory in rat pups,1,0,0,1,1,1,0,2,Psychology,1,1,Ambiguous_Tie,Psychology,This is published in a cognitive neuroscience journal (closer to psychology than psychiatry) and it studies cognitive processes (memory).,Journal from assigned field; Content from assigned field
23,10.1016/0165-3806(94)00202-b,JournalArticle,1995,"Mickley, G. Andrew; Lovelace, Julie D.; Farrell, Sean T.; Chang, Kenneth S.",The intensity of a fetal taste aversion is modulated by the anesthesia used during conditioning,Developmental Brain Research,"Rat fetuses (E18) can learn a taste aversion in utero if experience with a sweet flavor (saccharin = Sac) is followed by a malaise-producing injection of lithium chloride (LiCl). Here we report that this phenomenon can be significantly modulated by the type of anesthesia administered to the pregnant dam before the conditioning procedure. Dams were anesthetized with one of the following drugs or drug combinations: (1) sodium pentobarbital; (2) ketamine hydrochloride and xylazine; or (3) sodium pentobarbital and ketamine hydrochloride. While under the influence of these anesthetics, rat fetuses received pairings of Sac + LiCl or one of the following sets of oral and systemic (i.p.) control injections: Sac + Saline, H20 + LiCl; H20 + Saline. At age 15 days neonatal rats were given a taste preference test by allowing them to select nipples painted with either saccharin or vehicle (H20). After weaning, rats were given an additional taste preference test where they were allowed to drink from bottles filled with either 0.30% saccharin or water. Neonates that received Sac + LiCl injections avoided saccharin-painted nipples while neonates that received control injections in utero preferred saccharin-painted nipples. Rats that acquired the taste aversion under the influence of ketamine showed a significantly stronger conditioned taste aversion on the nipple preference test than did those from dams injected with sodium pentobarbital. The conditioned taste aversion was not detectable later during the bottle preference test. Since ketamine blocks N-methyl-D-aspartate (NMDA) glutamate receptors, and these receptors have been implicated in neural plasticity during development, our data suggest that NMDA antagonism can potentiate fetal learning. Ketamine has been used as an obstetrical and pediatric anesthetic. Thus, the data presented here may have clinical implications as well.",About prenatal aversive learning in rats and their consequences when pups,5,0,1,1,5,1,4,1,Psychology,0,0,Psychology,Psychology,,
24,NA,Dissertation,1995,"Coscia, Elizabeth M.",Ontogeny of timber wolf vocalizations: Acoustic properties and behavioural contexts.,NA,"This thesis concerns the ontogeny of vocal patterns in wolves, including their acoustic properties, contexts of expression and apparent functions. While it has long been recognized that wolves are among the most complex terrestrial social mammals and that their vocal behaviour contributes significantly to their social organization, objective and quantitative assessments of wolf vocal ontogeny have been lacking. In this study I have provided the first systematic evaluation of neonatal wolf vocalization patterns. Recordings were obtained from three litters of pups in a semi-natural, undisturbed den. The development of vocal behaviour during the pups' first six weeks of age was quantified using a multidimensional classification scheme. I catalogued 3396 sounds and 800 behavioural events and subjected them to detailed analyses. Vocalizations were divided into 11 classes based on their spectrographic structure. Properties used to distinguish vocal classes included: gross spectral type, duration and three frequency variables. Measures of frequency variation, inter-element-interval duration of sound series and relative amplitude were also taken for selected sounds. Eight vocal classes were quantified. Vocal classes were subdivided into three groups: early-appearing neonate-specific, early-appearing adult-structured and late-appearing adult-structured. Ontogenetic trends included changes in the relative proportion of specific vocal classes, decreases in fundamental frequency and combinations of specific sounds into patterns of non-random series. The behavioural context of vocal classes was examined with descriptive and statistical analyses of the relations between selected vocal classes and three behavioural categories: pup and adult behaviour at onset of pup vocal activity, and subsequent adult responses to vocalizations. The context of vocal classes distinguished as neonate-specific did not vary significantly with maturation, whereas the context of the adult-structured classes varied with changes in social and physical development. Interpretations of the expressive content and the function of pup vocal behaviour were based on the objective criteria used to describe behavioural changes in development.",About the development of vocal behavior in wolves,3,0,0,0,3,0,3,1,Psychology,0,0,Psychology,Psychology,,
25,10.1016/0162-3095(95)00054-o,Commentary,1995,"Wcislo, William T.",A false antithesis and evolutionary psychology,Ethology and Sociobiology,"Comments on D. S. Wilson's (see record 1995-12565-001) article and argues that the ""phenotypic plasticity"" discussed by Wilson has a genetic basis and thus subject to evolutionary processes, which would make phenotypic plasticity vs adaptive genetic differences a false dichotomy.",About the plasticity vs. genetics framework in evolutionary psychology,2,1,10,0,10,2,8,1,Biology,0,0,Biology,Biology,,
26,10.1016/s0065-3454(08)60343-5,BookChapter,1996,"Fairbanks, Lynn A.",Individual Differences in Maternal Style: Causes and Consequences for Mothers and offspring,"Advances in the Study of Behavior: Parental Care: Evolution, Mechanisms, and Adaptive Significance","This chapter focuses on spontaneously occurring individual differences in maternal behavior within primate species. It argues that maternal style is both an expression of temperament-based differences among adult females, and a mechanism for transmitting individual differences across generations. The chapter describes the principal dimensions of maternal style that have been identified in studies of cercopithecine primates, and examines the variables that have been proposed to explain this variation in maternal behavior. It demonstrates that maternal style is responsive to social and ecological circumstances to a certain degree, but that there are also stable individual differences among females that persist in the face of changing conditions. The chapter also focuses on research on the consequences of individual differences in maternal style for the mother and for the offspring. There is evidence that maternal style influences future fertility for the mother. Maternal style also predicts individual differences in temperament and response to novel and challenging situations for juvenile and adolescent offspring, and influences the maternal behavior of adult daughters. Some of the proximate mechanisms that mediate these effects are discussed.",About mothering behavior in primates; their causes and consequences,1,0,3,0,3,1,2,1,Biology,0,0,Biology,Biology,,
27,10.1016/b978-012279660-9/50030-0,BookChapter,1996,"Smith, Linda B.; Katz, Donald B.",Activity-Dependent Processes in Perceptual and Cognitive Development,Perceptual and Cognitive Development,"The central philosophical question behind the research in cognitive development is the origins of knowledge. The two classic philosophical answers are those of the British Empiricists who put the origins of knowledge in perception and those of the nativist-rationalists who place them in the innate structures of mind that interpret percepts. Virtually all contemporary theory rejects these two extremes in favor of their “interaction.” The traditional rationalist perspective is being increasingly challenged. The challenges push for a fundamental reformation of the nature of perceiving, knowing, and developmental process. This chapter reviews the recent empirical advances that lie behind the challenges. The chapter begins by considering the traditional view, which segregates timeless knowledge structures from the real-time processes of perceiving. Then, the chapter discusses the new data about the perceptual categories in the brain as activity-dependent processes and the data on the perceptual and category development in infants and young children and finds parallel phenomena that suggest that perceiving and knowing in children are also made and maintained by activity.",About the traditional ways of approaching cognitive development and recent trends,17,4,0,0,17,4,13,1,Psychology,0,0,Psychology,Psychology,,
28,10.1006/anbe.1996.0192,JournalArticle,1996,"Mateo, Jill M.",The development of alarm-call response behaviour in free-living juvenile Belding's ground squirrels,Animal Behaviour,"The production of and responses to alarm calls by adult ground-dwelling squirrels has been widely documented, yet the development of alarm-call behaviours has not been systematically addressed. The responses of free-living Belding's ground squirrels,Spermophilus beldingi, to playbacks of conspecific (three alarm calls and juvenile squeals) and heterospecific (wren song) vocalizations were observed from natal emergence until the age of dispersal. Discrimination of the five auditory stimuli was not present at emergence but developed within the next 5 days, with responsivity to whistle alarm calls, indicative of fast-moving predators, developing earlier than to trill alarm calls, associated with slow-moving predators. Response patterns (response duration, vigilant postures and initial responses) changed throughout the following 4 weeks, and approximated adult responses before juveniles dispersed. Juvenile responses were indirectly influenced by conspecifics, particularly the dam, as well as by the physical environment, including distance from the natal burrow and location within the meadow. Alarm-call responses appeared to be adapted to the juvenile's current stage of development, with younger juveniles making a trade-off between information gathering and escape responses. The development of appropriate responses to each alarm call is hypothesized to be facilitated by observations of experienced ground-squirrels' responses. Despite their vulnerability, juveniles may not emerge with fully formed associations between alarm calls and responses if the local predator context changes over time, thus favouring plasticity in the response repertoire.",About the development of vocal behavior and perception in squirrels,1,0,1,0,1,1,0,2,Psychology,1,1,Ambiguous_Tie,Biology,"This was assigned to biology because it resembles an ethological approach, with a naturalistic study. ",Content from different field
